id,fixedIndex,trait,question,responseOptions,p1,p2,p3,p4,SubGroupId,SubGroupSortOrder
1,,1,"<p>What 2 components are analyzed in this lab?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""Reliability and construct validity"",""value"":""1""},{""label"":""Factor Analysis &amp; ANOVA"",""value"":""2""},{""label"":""ANOVA &amp; Reliability"",""value"":""3""},{""label"":""Construct Validity &amp; Chronbach Alpha"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
2,,1,"<p>How many items are in the scale?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""4"",""value"":""1""},{""label"":""6"",""value"":""2""},{""label"":""3"",""value"":""3""},{""label"":""7"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
3,,1,"<p>What is the level of measurement of the gender variable?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""Nominal"",""value"":""1""},{""label"":""Bidirectional"",""value"":""2""},{""label"":""Ordinal"",""value"":""3""},{""label"":""Scale"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
4,,1,"<p>What is the dimension of the scale used?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""Uni-dimensional"",""value"":""1""},{""label"":""Bi-dimensional&nbsp;"",""value"":""2""},{""label"":""Tri-dimensional&nbsp;"",""value"":""3""},{""label"":""The scale does not have any dimensions&nbsp;"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
5,,1,"<p>Which type of people make up the sample?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""Children"",""value"":""1""},{""label"":""Senior citizens&nbsp;"",""value"":""2""},{""label"":""Working Adults"",""value"":""3""},{""label"":""Recent college graduates"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
6,,1,"<p>What is the sample size of this study?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""769"",""value"":""1""},{""label"":""659"",""value"":""2""},{""label"":""579"",""value"":""3""},{""label"":""967"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
7,,1,"<p>What is a PCA?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""Principal Component Analysis"",""value"":""1""},{""label"":""Principle Characteristics Analysis&nbsp;"",""value"":""2""},{""label"":""Public Children's Association&nbsp;"",""value"":""3""},{""label"":""Principle Cronbach's Alpha&nbsp;"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
8,,1,"<p>What is a PCA used for?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""To confirm the uni-dimensionality of the measure"",""value"":""1""},{""label"":""To confirm the bi-dimensionality of the measure&nbsp;"",""value"":""2""},{""label"":""To confirm the tri-dimensionality of the measure&nbsp;"",""value"":""3""},{""label"":""To confirm whether the sample is random&nbsp;"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
9,,1,"<p>How many variables does the data set have?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""7"",""value"":""1""},{""label"":""9"",""value"":""2""},{""label"":""11"",""value"":""3""},{""label"":""13"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
10,,1,"<p>What is the level of measurement of the age variable?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""Scale"",""value"":""1""},{""label"":""Nominal"",""value"":""2""},{""label"":""Ordinal"",""value"":""3""},{""label"":""Bidirectional"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
