id,item_id,response,score,timeTaken,session_id,theta,sem,trait,skipped
1002,1002,$epsilon$,1,4.129141092,1,0.487689606,0.470110214,,
1104,1104,Sum of the moments in the x-direction,1,11.434273,1,0.455960008,0.50502797,,
1113,1113,Failure Stress,1,40.89176393,1,0.673821941,0.831512979,,
1116,1116,Allowable Torque,0,100.6794028,1,0.317423268,0.390161894,,
1508,1508,$\Sigma F_y = 0$,1,22.69755602,1,0.611092606,0.567199553,,
1511,1511,$\Sigma F_z = 0$,0,121.7381389,1,0.249945274,0.693106839,,
1516,1516,$\Sigma M_x = 0$,0,75.97644901,1,0.462386477,0.447458674,,
1517,1517,$\Sigma M_y = 0$,0,114.1146922,1,0.430626872,0.477341151,,
1518,1518,$\sigma = \frac PA$,0,40.22368789,1,0.558096565,0.723316958,,
1522,1522,$\Sigma F_y = 0$,1,111.5762131,1,0.333200555,0.421062289,,
1525,1525,$\Sigma F_x = 0$,1,56.89531517,1,0.409109787,0.395320106,,
1540,1540,$\Sigma F_y = 0$,1,91.98251224,1,0.682788358,0.616235521,,
1550,1550,$\sigma = E \cdot \epsilon$,1,79.06606102,1,0.824231273,0.797338496,,
1561,1561,$\epsilon_{avg} = \frac{\Delta s' - \Delta s}{\Delta s}$,1,20.40677214,1,0.591079543,0.631052809,,
1575,1575,$\sigma = E \cdot \epsilon$,1,141.0509951,1,0.376779426,0.668749976,,
1576,1576,$G = \frac E{2(1 + \nu)}$,1,67.50777483,1,0.519035521,0.496658427,,
1591,1591,$\Sigma F_y = 0$,1,28.12270713,1,0.379625147,0.41562319,,
1593,1593,$\Sigma F_x = 0$,1,36.246912,1,0.272003014,0.381365205,,
1801,1801,$-N_E $,0,42.42420888,1,0.316586523,0.524871738,,
1804,1804,$F_{GH} \cdot \cos(45^\circ) - B_x$,1,68.04328609,1,0.493349677,0.874934278,,
1814,1814,$F_{BD} \cdot \sin (75^\circ) \cdot 0.07m - 3.3kg \cdot 9.81 m/s^2 \cdot 0.3m $,1,57.40961218,1,0.511908426,0.441661374,,
1834,1834,$\frac \pi 4 \cdot (0.004m)^2$,1,14.84433413,1,0.367786323,0.399847617,,
1842,1842,$2in ^2$,1,14.71285701,1,0.489710462,0.648343021,,
1876,1876,$8.00kip$,1,9.742214918,1,0.311119104,0.377068121,,
1878,1878,$\frac {8.00kip}{0.5in^2}$,1,60.73707294,1,0.541668239,0.46354123,,
1883,1883,$5in.$,1,38.63591313,1,0.952256416,0.769887522,,
1889,1889,$\frac \pi 4 \cdot (0.5^2)$,1,36.28389907,1,0.57827733,0.489118683,,
1892,1892,$0.009in.$,0,142.680274,1,0.444569677,0.592718268,,
1897,1897,$Unknown$,1,52.93095899,1,0.592807193,0.457545778,,
1899,1899,$\frac \pi 4 \cdot (0.005^2)$,1,12.98250103,1,0.348785069,0.373055733,,
1916,1916,$2.70 GPa$,1,21.10505199,1,0.324701927,0.404726989,,
1922,1922,$0.4$,0,51.469625,1,0.231328559,0.385978061,,
1931,1931,$33kN$,0,40.49067211,1,0.41258166,0.549375131,,
1936,1936,$67.9GPa$,0,60.23327422,1,0.393604927,0.43344316,,
1940,1940,$\frac \pi4 \cdot (0.04^2)$,0,46.08092213,1,0.284556306,0.426973379,,
1959,1959,$0.4$,1,8.211238861,1,0.531354761,0.579092257,,
1964,1964,$60 ksi$,1,16.97211719,1,0.488350875,0.538235935,,
1965,1965,$\frac P 2$,1,74.93310308,1,0.388661012,0.514373485,,
1973,1973,$-N_D$,0,48.76437593,1,0.279711737,0.410000499,,
1989,1989,$unknown$,1,51.40011787,1,0.272390701,0.930635074,,
1121,1121,Angle of Deformation,0,122.63165,3,-0.150169581,0.880809041,,
1123,1123,Modulus of Elasticity,1,38.69654608,3,1.145927984,0.405324204,,
1134,1134,Poisson's Ratio,1,27.67360902,3,0.069589957,0.828861258,,
1208,1208,Shear Stress,1,40.89971495,3,0.558096565,0.723316958,,
1512,1512,$\Sigma F_x = 0$,1,105.4591072,3,1.295766706,0.535521659,,
1521,1521,$\Sigma F_z = 0$,0,315.0332339,3,0.843013847,0.592167087,,
1524,1524,$\sigma = \frac PA$,1,51.19984388,3,1.324258923,0.484051293,,
1532,1532,$\sigma = \frac PA$,1,116.9696629,3,0.78713763,0.680738185,,
1545,1545,$\gamma = \theta_1 + \theta_2$,1,88.46219802,3,1.251026253,0.452915869,,
1554,1554,$\sigma = \frac PA$,1,103.5776441,3,0.679659714,0.700123151,,
1555,1555,$\sigma = E \cdot \epsilon$,1,154.0385489,3,0.257858526,0.786101216,,
1559,1559,$\sigma = E \cdot \epsilon$,0,151.1213541,3,1.162451269,0.429606794,,
1563,1563,$\nu = - \frac {\epsilon_{\text{lat}}}{\epsilon_{\text{long}}}$,1,118.7738678,3,1.288241056,0.487388864,,
1570,1570,$\sigma = E \cdot \epsilon$,1,224.4596999,3,1.151625506,0.551880167,,
1571,1571,$\nu = - \frac {\epsilon_{\text{lat}}}{\epsilon_{\text{long}}}$,1,292.2478271,3,1.392216876,0.477961961,,
1572,1572,$\delta = \sum \frac {NL}{AE}$,0,101.5437241,3,1.217927574,0.455767069,,
1573,1573,$\delta = \sum \frac {NL}{AE}$,0,204.9574969,3,1.170616947,0.498849938,,
1578,1578,$\Sigma F_x = 0$,1,156.5431299,3,1.12104976,0.627109886,,
1588,1588,$\Sigma F_y = 0$,1,120.6065209,3,1.040578997,0.565510567,,
1592,1592,$\Sigma M_z = 0$,1,243.49615,3,0.913778965,0.582251936,,
1802,1802,$V_E + C_y - 820lb$,1,130.640969,3,1.117580902,0.407514286,,
1819,1819,$T - A_x$,1,110.195565,3,1.380162944,0.526588459,,
1824,1824,$unknown$,1,82.35552406,3,0.969877268,0.650179035,,
1827,1827,$F_{BC} \cdot \cos (\theta) - F_{AB} \cdot \cos(30^\circ))$,1,189.1338038,3,1.193009216,0.427125556,,
1851,1851,$F_{CF} \cdot \sin (30^\circ) \cdot 1.8m - 150kg \cdot 9.81m/s^2 \cdot 1.2m$,1,230.1827371,3,1.048751946,0.63789967,,
1862,1862,$unknown$,1,109.1279941,3,0.272390701,0.930635074,,
1871,1871,$0.0017$,1,88.00984097,3,1.250292103,0.540526734,,
1890,1890,$2.546ksi$,0,482.458015,3,1.088349662,0.409820941,,
1893,1893,$unknown$,1,181.754951,3,1.338970057,0.530888406,,
1913,1913,$450N$,1,91.98992896,3,1.097833325,0.558366715,,
1929,1929,$\pi \cdot [(0.0125 m)^2 - (0.01 m)^2]$,1,83.34803796,3,1.250715998,0.490950147,,
1934,1934,$\frac {\pi \cdot 2 \cdot 0.09 mm}{\pi \cdot 2 \cdot 12.5 mm}$,1,362.1938059,3,1.202337212,0.545958714,,
1942,1942,$\frac \pi4 \cdot (0.04^2)$,1,112.212888,3,1.211555537,0.494760596,,
1949,1949,$V - 1.8 kN \cos (60^\circ)$,1,97.99592304,3,1.313824985,0.447679583,,
1952,1952,$-1.8 kN \sin (60^\circ)$,1,123.9169791,3,0.88319714,0.664301621,,
1959,1959,$0.4$,1,47.66330481,3,0.418999684,0.751478407,,
1966,1966,$\frac \pi 4 \cdot (0.75m)^2$,1,202.4722052,3,0.979408837,0.573425246,,
1969,1969,$0.28$,1,69.153759,3,1.222590671,0.424774299,,
1972,1972,$P \cdot (2.25m) - 1.8kN \cdot (0.6m)$,1,156.6581089,3,1.282966473,0.450224726,,
1985,1985,$N_{a-a}  + 135N$,1,101.5244429,3,1.358883603,0.480915388,,
1006,1006,$$\frac{\pi}{2} - \theta$$,1,16.06558299,4,-0.024067583,0.491813417,,
1007,1007,$$\frac {\delta \cdot L}{L}$$,1,169.521956,4,0.163783708,0.51533153,,
1210,1210,Shear Strain,1,114.382561,4,-0.079502351,0.6358665,,
1502,1502,$\Sigma M_y = 0$,0,84.112602,4,-0.209067126,0.662845943,,
1516,1516,$\Sigma M_x = 0$,0,344.0440841,4,-0.242148052,0.800493909,,
1521,1521,$\Sigma F_x = 0$,1,360.401582,4,0.155427063,0.550251604,,
1529,1529,$\Sigma M_y = 0$,0,57.51066303,4,-0.099537852,0.504354683,,
1547,1547,$\sigma = \frac PA$,1,1065.725067,4,0.272390701,0.930635074,,
1551,1551,$\sigma = E \cdot \epsilon$,0,279.3505769,4,0.069589957,0.828861258,,
1577,1577,$\nu = - \frac {\epsilon_{\text{lat}}}{\epsilon_{\text{long}}}$,0,83.76541114,4,-0.138741079,0.488576192,,
1588,1588,$\tau_{avg} = \frac VA$,0,168.7885141,4,0.026009875,0.508708232,,
1806,1806,$F_{GH} \cdot sin(45^\circ) \cdot 2ft  - 100lb \cdot 4ft $,1,195.194881,4,-0.056770125,0.757936385,,
1824,1824,$unknown$,1,241.7898781,4,0.239077003,0.536741188,,
1866,1866,$10mm$,1,365.652334,4,0.144402748,0.593376802,,
1894,1894,$Unknown$,0,1084.598176,4,-2.41E-07,0.674199871,,
1899,1899,$\frac \pi 4 \cdot (0.005^2)$,1,58.79560685,4,0.106443496,0.722449628,,
