"","id","trait","question","responseOptions","p1","p2","p3","p4"
"1",1001,NA,NA,NA,1.57302324915835,-2.0462638099512,0.25,1
"2",1002,NA,NA,NA,3,-1.29578853414372,0.25,1
"3",1003,NA,NA,NA,3,-1.33429178739074,0.25,1
"4",1004,NA,NA,NA,0.86638848054915,-2.65230554586932,0.25,1
"5",1005,NA,NA,NA,3,-1.23236769433282,0.25,1
"6",1006,NA,NA,NA,3,-0.373024525389476,0.25,1
"7",1007,NA,NA,NA,1,1,0.25,1
"8",1008,NA,NA,NA,2.89388944778086,-0.513349436020413,0.25,1
"9",1009,NA,NA,NA,3,-0.277772091460365,0.25,1
"10",1010,NA,NA,NA,0.559775179182848,4,0.25,1
"11",1011,NA,NA,NA,3,-0.408522183416031,0.25,1
"12",1012,NA,NA,NA,1.58465620072559,-1.46230110389075,0.25,1
"13",1013,NA,NA,NA,2.78109172948417,-0.446840313990999,0.25,1
"14",1014,NA,NA,NA,1,0,0.25,1
"15",1015,NA,NA,NA,1,-2,0.25,1
"16",1016,NA,NA,NA,1,2,0.25,1
"17",1017,NA,NA,NA,1,0,0.25,1
"18",1018,NA,NA,NA,1,0,0.25,1
"19",1019,NA,NA,NA,1,1,0.25,1
"20",1020,NA,NA,NA,1,1,0.25,1
"21",1021,NA,NA,NA,1,-3,0.25,1
"22",1022,NA,NA,NA,1,2,0.25,1
"23",1023,NA,NA,NA,1,0,0.25,1
"24",1024,NA,NA,NA,1,1,0.25,1
"25",1025,NA,NA,NA,1,0,0.25,1
"26",1026,NA,NA,NA,1,0,0.25,1
"27",1027,NA,NA,NA,1,3,0.25,1
"28",1028,NA,NA,NA,1,-1,0.25,1
"29",1029,NA,NA,NA,1,-2,0.25,1
"30",1030,NA,NA,NA,1,1.5,0.25,1
"31",1031,NA,NA,NA,1,-1,0.25,1
"32",1032,NA,NA,NA,1,0,0.25,1
"33",1033,NA,NA,NA,1,0,0.25,1
"34",1034,NA,NA,NA,1,2,0.25,1
"35",1035,NA,NA,NA,1,1,0.25,1
"36",1036,NA,NA,NA,1,1,0.25,1
"37",1037,NA,NA,NA,1,1,0.25,1
"38",1038,NA,NA,NA,1,1,0.25,1
"39",1039,NA,NA,NA,1,0,0.25,1
"40",1040,NA,NA,NA,1,1,0.25,1
"41",1041,NA,NA,NA,1,0,0.25,1
"42",1042,NA,NA,NA,1,-1,0.25,1
"43",1043,NA,NA,NA,1,-3,0.25,1
"44",1044,NA,NA,NA,1,-1,0.25,1
